Date,Open,High,Low,Close,Adj Close,Volume,returns
2019-06-12,63.5,67.0,56.0,58.0,58.0,19449200,
2019-06-13,63.86000061035156,69.66999816894531,61.599998474121094,67.55999755859375,67.55999755859375,10923900,16.48275441136853
2019-06-14,69.77999877929688,70.79000091552734,63.02000045776367,64.16000366210938,64.16000366210938,6264200,-5.032554794774247
2019-06-17,64.75,70.01000213623047,62.0,70.01000213623047,70.01000213623047,3247500,9.117827525274746
2019-06-18,73.0,78.69999694824219,71.5,76.5,76.5,6612600,9.270100936635917
2019-06-19,78.75,79.79000091552734,73.55500030517578,77.22000122070312,77.22000122070312,3319100,0.9411780662786029
2019-06-20,78.0,78.22000122070312,70.69000244140625,74.8499984741211,74.8499984741211,3429600,-3.0691565774627616
2019-06-21,72.45999908447266,73.9280014038086,68.30000305175781,72.2300033569336,72.2300033569336,2657500,-3.500327549229476
2019-06-24,71.05000305175781,72.38999938964844,65.08000183105469,67.97000122070312,67.97000122070312,2448000,-5.8978290713612935
2019-06-25,67.0999984741211,68.98999786376953,61.16999816894531,61.52000045776367,61.52000045776367,2480200,-9.48948160526858
2019-06-26,63.29999923706055,64.91999816894531,62.005001068115234,62.650001525878906,62.650001525878906,1625500,1.8368027628527628
2019-06-27,63.38999938964844,64.99500274658203,62.57099914550781,63.279998779296875,63.279998779296875,914500,1.005582183677567
2019-06-28,64.36000061035156,68.37999725341797,63.29999923706055,68.29000091552734,68.29000091552734,1474300,7.917196954607997
2019-07-01,69.0999984741211,69.72899627685547,61.810001373291016,63.20000076293945,63.20000076293945,2670900,-7.453507225580602
2019-07-02,63.29999923706055,65.02999877929688,61.72100067138672,64.5199966430664,64.5199966430664,1735600,2.0886010509370223
2019-07-03,64.68000030517578,67.4800033569336,64.5199966430664,67.23999786376953,67.23999786376953,1564100,4.215749166495697
2019-07-05,67.1500015258789,67.25,64.83999633789062,67.20999908447266,67.20999908447266,804900,-0.04461448579705651
