"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"17.09.2024","16.136,00","16.346,00","16.400,00","16.136,00","","-1,15%"
"16.09.2024","16.323,50","15.948,00","16.330,00","15.940,00","","2,38%"
"13.09.2024","15.944,00","15.950,00","15.975,00","15.940,00","","-1,19%"
"12.09.2024","16.136,00","16.150,00","16.100,00","16.150,00","13,40K","0,15%"
"11.09.2024","16.112,00","16.000,00","15.950,00","15.975,00","19,30K","2,36%"
"10.09.2024","15.741,00","15.900,00","15.850,00","15.830,00","20,55K","-1,02%"
"09.09.2024","15.903,00","15.925,00","15.890,00","15.895,00","14,50K","0,06%"
"06.09.2024","15.893,00","16.000,00","15.990,00","15.990,00","19,54K","-1,15%"
"05.09.2024","16.078,00","16.025,00","15.980,00","15.980,00","30,68K","-0,84%"
"04.09.2024","16.214,00","16.300,00","16.250,00","16.240,00","24,52K","-1,51%"
"03.09.2024","16.462,00","16.550,00","16.500,00","16.520,00","20,08K","-0,98%"
"02.09.2024","16.625,00","16.650,00","16.640,00","16.650,00","9,08K","-0,84%"
"30.08.2024","16.766,00","17.050,00","17.025,00","17.030,00","16,35K","-1,39%"
"29.08.2024","17.003,00","17.000,00","16.925,00","16.930,00","11,56K","-0,09%"
"28.08.2024","17.019,00","16.870,00","16.835,00","16.870,00","13,03K","-0,68%"
"27.08.2024","17.136,00","17.150,00","17.060,00","17.065,00","20,19K","2,26%"
"23.08.2024","16.758,00","16.700,00","16.650,00","16.655,00","14,75K","0,93%"
"22.08.2024","16.603,00","16.625,00","16.500,00","16.550,00","14,44K","-1,82%"
"21.08.2024","16.910,00","16.950,00","16.885,00","16.900,00","16,91K","-0,73%"
"20.08.2024","17.035,00","16.800,00","16.850,00","16.800,00","35,18K","2,21%"
"19.08.2024","16.666,00","16.575,00","16.550,00","16.555,00","17,16K","1,79%"
